Date,Humidity(pct),Temp(C),Sample,Vdc(mV)
2026-02-13,86,24.4,Ethanol,182
2026-02-13,86,24.4,Water,262
2026-02-13,86,24.4,Petrol,71
2026-02-13,86,24.4,Coconut Oil,84
2026-02-14,78,28.0,Ethanol,187
2026-02-14,78,28.0,Water,262.5
2026-02-14,78,28.0,Petrol,73
2026-02-14,78,28.0,Coconut Oil,88
2026-02-15,32,,Ethanol,180
2026-02-15,32,,Water,261
2026-02-15,32,,Petrol,71
2026-02-15,32,,Coconut Oil,83
2026-02-15,64,29.2,Ethanol,183
2026-02-15,64,29.2,Water,267
2026-02-15,64,29.2,Petrol,72
2026-02-15,64,29.2,Coconut Oil,85
